Date,Open,High,Low,Close,Volume
2/1/2025 16:00:00,5903.26,5935.09,5829.53,5868.55,0
3/1/2025 16:00:00,5891.07,5949.34,5888.66,5942.47,0
6/1/2025 16:00:00,5982.81,6021.04,5960.01,5975.38,0
7/1/2025 16:00:00,5993.26,6000.68,5890.68,5909.03,0
8/1/2025 16:00:00,5910.66,5927.89,5874.78,5918.25,0
10/1/2025 16:00:00,5890.35,5890.35,5807.78,5827.04,0
13/1/2025 16:00:00,5782.02,5838.61,5773.31,5836.22,0
14/1/2025 16:00:00,5859.27,5871.92,5805.42,5842.91,0
15/1/2025 16:00:00,5905.21,5960.61,5905.21,5949.91,0
16/1/2025 16:00:00,5963.61,5964.69,5930.72,5937.34,0
17/1/2025 16:00:00,5995.4,6014.96,5978.44,5996.66,0
21/1/2025 16:00:00,6014.12,6051.51,6006.88,6049.24,0
22/1/2025 16:00:00,6081.39,6100.81,6076.13,6086.37,0
23/1/2025 16:00:00,6076.32,6118.73,6074.67,6118.71,0
24/1/2025 16:00:00,6121.43,6128.18,6088.74,6101.24,0
27/1/2025 16:00:00,5969.04,6017.17,5962.92,6012.28,0
28/1/2025 16:00:00,6026.97,6074.54,5994.63,6067.7,0
29/1/2025 16:00:00,6057.7,6062.83,6012.96,6039.31,0
30/1/2025 16:00:00,6050.75,6086.64,6027.46,6071.17,0
31/1/2025 16:00:00,6096.79,6120.91,6030.93,6040.53,0
3/2/2025 16:00:00,5969.65,6022.13,5923.93,5994.57,0
4/2/2025 16:00:00,5998.14,6042.48,5990.87,6037.88,0
5/2/2025 16:00:00,6020.45,6062.86,6007.06,6061.48,0
6/2/2025 16:00:00,6072.22,6084.03,6046.83,6083.57,0
7/2/2025 16:00:00,6083.13,6101.28,6019.96,6025.99,0
10/2/2025 16:00:00,6046.4,6073.38,6044.84,6066.44,0
11/2/2025 16:00:00,6049.32,6076.28,6042.34,6068.5,0
12/2/2025 16:00:00,6025.08,6063,6003,6051.97,0
13/2/2025 16:00:00,6060.59,6116.91,6050.95,6115.07,0
14/2/2025 16:00:00,6115.52,6127.47,6107.62,6114.63,0
18/2/2025 16:00:00,6121.6,6129.63,6099.51,6129.58,0
19/2/2025 16:00:00,6117.76,6147.43,6111.15,6144.15,0
20/2/2025 16:00:00,6134.5,6134.5,6084.59,6117.52,0
21/2/2025 16:00:00,6114.1,6114.82,6008.56,6013.13,0
24/2/2025 16:00:00,6026.69,6043.65,5977.83,5983.25,0
25/2/2025 16:00:00,5982.73,5992.65,5908.49,5955.25,0
26/2/2025 16:00:00,5970.87,6009.82,5932.69,5956.06,0
27/2/2025 16:00:00,5981.88,5993.69,5858.78,5861.57,0
28/2/2025 16:00:00,5856.74,5959.4,5837.66,5954.5,0
3/3/2025 16:00:00,5968.33,5986.09,5810.91,5849.72,0
4/3/2025 16:00:00,5811.98,5865.08,5732.59,5778.15,0
5/3/2025 16:00:00,5781.36,5860.59,5742.35,5842.63,0
6/3/2025 16:00:00,5785.87,5812.08,5711.64,5738.52,0
7/3/2025 16:00:00,5726.01,5783.01,5666.29,5770.2,0
10/3/2025 16:00:00,5705.37,5705.37,5564.02,5614.56,0
11/3/2025 16:00:00,5603.65,5636.3,5528.41,5572.07,0
12/3/2025 16:00:00,5624.84,5642.19,5546.09,5599.3,0
13/3/2025 16:00:00,5594.45,5597.78,5504.65,5521.52,0
14/3/2025 16:00:00,5563.85,5645.27,5563.85,5638.94,0
17/3/2025 16:00:00,5633.02,5703.52,5631.12,5675.12,0
18/3/2025 16:00:00,5654.53,5654.53,5597.76,5614.66,0
19/3/2025 16:00:00,5632.37,5715.22,5622.2,5675.29,0
20/3/2025 16:00:00,5646.92,5711.15,5632.33,5662.89,0
21/3/2025 16:00:00,5630.73,5670.84,5603.1,5667.56,0
24/3/2025 16:00:00,5718.08,5775.14,5718.08,5767.57,0
25/3/2025 16:00:00,5775.96,5786.95,5760.42,5776.65,0
26/3/2025 16:00:00,5771.63,5783.62,5694.41,5712.2,0
27/3/2025 16:00:00,5695.64,5732.08,5671.25,5693.31,0
28/3/2025 16:00:00,5679.2,5685.89,5572.56,5580.94,0
1/4/2025 16:00:00,5527.91,5650.57,5488.73,5633.07,0
2/4/2025 16:00:00,5580.76,5695.31,5571.48,5670.97,0
3/4/2025 16:00:00,5492.74,5499.53,5390.83,5396.52,0
4/4/2025 16:00:00,5292.14,5292.14,5069.9,5074.08,0
7/4/2025 16:00:00,4953.79,5246.57,4835.04,5062.25,0
8/4/2025 16:00:00,5193.57,5267.47,4910.42,4982.77,0
